Código Programa,Nome do programa,Sigla IES,Grau acadêmico Atual do PPG,Nome Modalidade,Nota do Programa,Situação Programa,Programa em Forma Associativa,Área de Avaliação,Área Conhecimento,Grande área de conhecimento
12008010002P5,DIREITO AMBIENTAL,UEA,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
26001012018P0,DIREITO,UFAL,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
28001010015P0,DIREITO,UFBA,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
31018017007P9,DIREITO,UNESA,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33034010006P0,DIREITO,UNIMAR,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
32008015005P7,DIREITO,PUC MINAS,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
30010012001P7,DIREITO,FDV,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
32040016001P8,Direito nas Relações Econômicas e Sociais,FMC,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
31004016015P4,DIREITO,UERJ,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
31005012020P4,DIREITO,PUC-RIO,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,TEORIA DO DIREITO,CIÊNCIAS SOCIAIS APLICADAS
32001010027P6,DIREITO,UFMG,Mestrado/Doutorado,ACADÊMICO,7,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33002010119P7,DIREITO,USP,Mestrado/Doutorado,ACADÊMICO,7,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
40031012001P5,CIÊNCIA JURÍDICA,UENP,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33004072068P9,DIREITO,UNESP-FRANCA,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42008018004P9,DIREITO,UCS,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
50001019025P4,DIREITO,UFMT,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITOS ESPECIAIS,CIÊNCIAS SOCIAIS APLICADAS
42007011005P9,DIREITO,UNISINOS,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PÚBLICO,CIÊNCIAS SOCIAIS APLICADAS
27001016035P4,DIREITO,UFS,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO CONSTITUCIONAL,CIÊNCIAS SOCIAIS APLICADAS
42024013004P7,Direitos Humanos,UNIJUÍ,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
27002012005P4,Direitos Humanos,UNIT,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
15001016003P1,DIREITO,UFPA,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
22001018011P4,DIREITO,UFC,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PÚBLICO,CIÊNCIAS SOCIAIS APLICADAS
23001011034P7,DIREITO,UFRN,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
24001015037P9,CIÊNCIAS JURÍDICAS,UFPB-JOÃO PESSOA,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
25001019029P9,DIREITO,UFPE,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
